State,Total_Cases,Days_100,Deaths,DeathsDays_1,
Baden-WŸrttemberg,827,1,2,1,278
Baden-WŸrttemberg,1105,2,2,2,374
Baden-WŸrttemberg,1479,3,2,3,417
Baden-WŸrttemberg,1609,4,2,4,130
Baden-WŸrttemberg,2155,5,6,5,546
Baden-WŸrttemberg,2746,6,10,6,591
Baden-WŸrttemberg,3668,7,16,7,922
Baden-WŸrttemberg,3807,8,21,8,139
Baden-WŸrttemberg,3811,9,21,9,4
Baden-WŸrttemberg,5348,10,30,10,1537
Baden-WŸrttemberg,6069,11,37,11,721
Baden-WŸrttemberg,7283,12,56,12,1214
Baden-WŸrttemberg,8161,13,70,13,878
Baden-WŸrttemberg,9781,14,101,14,1620
Baden-WŸrttemberg,9794,15,101,15,13
Baden-WŸrttemberg,10943,16,119,16,1149
Baden-WŸrttemberg,12334,17,165,17,1391
Baden-WŸrttemberg,13410,18,197,18,1076
Baden-WŸrttemberg,14662,19,241,19,1252
Bavaria,886,1,4,1,
Bavaria,1067,2,4,2,
Bavaria,1109,3,4,3,
Bavaria,1243,4,4,4,
Bavaria,1692,5,8,5,
Bavaria,2401,6,12,6,
Bavaria,2960,7,19,7,
Bavaria,3650,8,21,8,
Bavaria,4892,9,26,9,
Bavaria,5754,10,30,10,
Bavaria,6558,11,37,11,
Bavaria,7993,12,47,12,
Bavaria,9481,13,55,13,
Bavaria,11150,14,77,14,
Bavaria,12881,15,107,15,
Bavaria,13989,16,127,16,
Bavaria,14810,17,162,17,
Bavaria,16497,18,225,18,
Bavaria,18496,19,268,19,1999
Berlin,265,1,0,0,
Berlin,300,2,0,0,
Berlin,345,3,0,0,
Berlin,391,4,0,0,
Berlin,573,5,0,0,
Berlin,731,6,0,0,
Berlin,866,7,1,1,
Berlin,1024,8,1,2,
Berlin,1077,9,1,3,
Berlin,1220,10,1,4,
Berlin,1428,11,2,5,
Berlin,1656,12,4,6,
Berlin,1955,13,8,7,
Berlin,2161,14,8,8,
Berlin,2360,15,9,9,
Berlin,2464,16,11,10,
Berlin,2575,17,13,11,
Berlin,2754,18,16,12,
Berlin,2970,19,19,13,216
Hamburg,162,1,0,0,
Hamburg,260,2,0,0,
Hamburg,310,3,0,0,
Hamburg,358,4,0,0,
Hamburg,432,5,0,0,
Hamburg,586,6,0,0,
Hamburg,587,7,0,0,
Hamburg,872,8,0,0,
Hamburg,943,9,0,0,
Hamburg,1043,10,0,0,
Hamburg,1262,11,0,0,
Hamburg,1265,12,0,0,
Hamburg,1693,13,2,1,
Hamburg,1765,14,2,2,
Hamburg,1846,15,4,3,
Hamburg,2053,16,5,4,
