iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,,,,,,,,,,
DEU,Europe,Germany,2020-03-15,3795,733,421.14,8,3,1.143,45.295,8.749,5.027,0.095,0.036,0.014,,252173,3.01,,18208,0.217,43.235,0.023,tests performed,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
DEU,Europe,Germany,2020-03-16,4838,1043,562.29,12,4,1.714,57.744,12.449,6.711,0.143,0.048,0.02,,,,,22722,0.271,40.41,0.025,tests performed,42.13,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
DEU,Europe,Germany,2020-03-17,6012,1174,696.14,13,1,1.571,71.756,14.012,8.309,0.155,0.012,0.019,,,,,27235,0.325,39.123,0.026,tests performed,42.13,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
DEU,Europe,Germany,2020-03-18,7156,1144,837.14,13,0,1.571,85.41,13.654,9.992,0.155,0,0.019,,,,,31749,0.379,37.925,0.026,tests performed,52.31,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
DEU,Europe,Germany,2020-03-19,8198,1042,947.29,13,0,1.429,97.847,12.437,11.306,0.155,0,0.017,,,,,36262,0.433,38.28,0.026,tests performed,55.09,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
DEU,Europe,Germany,2020-03-20,14138,5940,1681.29,43,30,5.429,168.744,70.897,20.067,0.513,0.358,0.065,,,,,40776,0.487,24.253,0.041,tests performed,57.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
DEU,Europe,Germany,2020-03-21,18187,4049,2160.71,45,2,5.714,217.07,48.327,25.789,0.537,0.024,0.068,,,,,45289,0.541,20.96,0.048,tests performed,68.06,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
DEU,Europe,Germany,2020-03-22,21463,3276,2524.00,67,22,8.429,256.171,39.101,30.125,0.8,0.263,0.101,,600792,7.171,,49803,0.594,19.732,0.051,tests performed,76.85,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
DEU,Europe,Germany,2020-03-23,24774,3311,2848.00,94,27,11.714,295.689,39.518,33.992,1.122,0.322,0.14,,,,,50066,0.598,17.579,0.057,tests performed,76.85,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
DEU,Europe,Germany,2020-03-24,29212,4438,3314.29,126,32,16.143,348.659,52.97,39.558,1.504,0.382,0.193,,,,,50329,0.601,15.185,0.066,tests performed,76.85,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,,,,,,,,,,
