,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,cum_cases,cum_deaths,Days_10cases,Days_5deaths,cases_doubling,deaths_doubling
1,2019-12-31,31,12,2019,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
2,2020-01-01,1,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
3,2020-01-02,2,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
4,2020-01-03,3,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
5,2020-01-04,4,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
6,2020-01-05,5,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
7,2020-01-06,6,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
8,2020-01-07,7,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
9,2020-01-08,8,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
10,2020-01-09,9,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
11,2020-01-10,10,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
12,2020-01-11,11,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
13,2020-01-12,12,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
14,2020-01-13,13,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
15,2020-01-14,14,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
16,2020-01-15,15,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
17,2020-01-16,16,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
18,2020-01-17,17,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
19,2020-01-18,18,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
20,2020-01-19,19,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
21,2020-01-20,20,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
22,2020-01-21,21,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
23,2020-01-22,22,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
24,2020-01-23,23,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
25,2020-01-24,24,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
26,2020-01-25,25,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
27,2020-01-26,26,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
28,2020-01-27,27,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
29,2020-01-28,28,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
30,2020-01-29,29,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
31,2020-01-30,30,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
32,2020-01-31,31,1,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
33,2020-02-01,1,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
34,2020-02-02,2,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
35,2020-02-03,3,2,2020,0,0,Belgium,BE,BEL,11422068,0,0,0,0,12,12
36,2020-02-04,4,2,2020,1,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
37,2020-02-05,5,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
38,2020-02-06,6,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
39,2020-02-07,7,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
40,2020-02-08,8,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
41,2020-02-09,9,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
42,2020-02-10,10,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
43,2020-02-11,11,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
44,2020-02-12,12,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
45,2020-02-13,13,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
46,2020-02-14,14,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
47,2020-02-15,15,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
48,2020-02-16,16,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
49,2020-02-17,17,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
50,2020-02-18,18,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
51,2020-02-19,19,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
52,2020-02-20,20,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
53,2020-02-21,21,2,2020,0,0,Belgium,BE,BEL,11422068,1,0,0,0,12,12
