dateRep,Month,cases,cases_avg7,deaths,deaths_avg7,countriesAndTerritories,countryterritoryCode,popData2018,cum_cases,cum_deaths,Days_10cases,Days_5deaths,cases_doubling,deaths_doubling
2020-02-01,February,2,0.0,0,0.0,Germany,DEU,82927922,7,0,0,0,12,12
2020-02-02,February,1,0.0,0,0.0,Germany,DEU,82927922,8,0,0,0,12,12
2020-02-03,February,1,0.0,0,0.0,Germany,DEU,82927922,9,0,0,0,12,12
2020-02-04,February,2,0.0,0,0.0,Germany,DEU,82927922,11,0,1,0,12,12
2020-02-05,February,0,0.0,0,0.0,Germany,DEU,82927922,11,0,2,0,12,12
2020-02-06,February,0,0.0,0,0.0,Germany,DEU,82927922,11,0,3,0,12,12
2020-02-07,February,1,1.0,0,0.0,Germany,DEU,82927922,12,0,4,0,12,12
2020-02-08,February,1,0.9,0,0.0,Germany,DEU,82927922,13,0,5,0,12,12
2020-02-09,February,0,0.7,0,0.0,Germany,DEU,82927922,13,0,6,0,12,12
2020-02-10,February,0,0.6,0,0.0,Germany,DEU,82927922,13,0,7,0,12,12
2020-02-11,February,0,0.3,0,0.0,Germany,DEU,82927922,13,0,8,0,12,12
2020-02-12,February,2,0.6,0,0.0,Germany,DEU,82927922,15,0,9,0,12,12
2020-02-13,February,0,0.6,0,0.0,Germany,DEU,82927922,15,0,10,0,12,12
2020-02-14,February,0,0.4,0,0.0,Germany,DEU,82927922,15,0,11,0,12,12
2020-02-15,February,0,0.3,0,0.0,Germany,DEU,82927922,15,0,12,0,12,12
2020-02-16,February,0,0.3,0,0.0,Germany,DEU,82927922,15,0,13,0,12,12
2020-02-17,February,0,0.3,0,0.0,Germany,DEU,82927922,15,0,14,0,12,12
2020-02-18,February,0,0.3,0,0.0,Germany,DEU,82927922,15,0,15,0,12,12
2020-02-19,February,0,0.0,0,0.0,Germany,DEU,82927922,15,0,16,0,12,12
2020-02-20,February,0,0.0,0,0.0,Germany,DEU,82927922,15,0,17,0,12,12
2020-02-21,February,0,0.0,0,0.0,Germany,DEU,82927922,15,0,18,0,12,12
2020-02-22,February,0,0.0,0,0.0,Germany,DEU,82927922,15,0,19,0,12,12
2020-02-23,February,0,0.0,0,0.0,Germany,DEU,82927922,15,0,20,0,12,12
2020-02-24,February,0,0.0,0,0.0,Germany,DEU,82927922,15,0,21,0,12,12
2020-02-25,February,0,0.0,0,0.0,Germany,DEU,82927922,15,0,22,0,12,12
