State,Total_Cases,New_Cases,Avg_3days,Avg_5days,Dates,Per100,Deaths,Days_100,DeathsDays_5,GrowthRate,New_deaths,Death_5days
Baden-Wuerttemberg,827,0,0,0,2020-03-15,5,2,1,0,0,0,0
Baden-Wuerttemberg,1105,278,0,0,2020-03-16,10,2,2,0,0,0,0
Baden-Wuerttemberg,1479,417,0,0,2020-03-17,13,2,3,0,0,0,0
Baden-Wuerttemberg,1609,130,275,0,2020-03-18,15,2,4,0,24.2,0,0
Baden-Wuerttemberg,2155,546,364,0,2020-03-19,19,6,5,1,26,4,0.8
Baden-Wuerttemberg,2746,591,422,392,2020-03-20,25,10,6,2,24.1,4,1.6
Baden-Wuerttemberg,3668,922,686,521,2020-03-21,33,16,7,3,31.6,6,2.8
Baden-Wuerttemberg,3807,139,551,466,2020-03-22,34,21,8,4,19.3,5,3.8
Baden-Wuerttemberg,3811,4,355,440,2020-03-23,34,21,9,5,10.4,0,3.8
Baden-Wuerttemberg,5348,1537,560,639,2020-03-24,48,30,10,6,14.9,9,4.8
Baden-Wuerttemberg,6069,721,754,665,2020-03-25,55,37,11,7,17.4,7,5.4
Baden-Wuerttemberg,7283,1214,1157,723,2020-03-26,66,56,12,8,22.8,19,8
Baden-Wuerttemberg,8161,878,938,871,2020-03-27,74,70,13,9,15,14,9.8
Baden-Wuerttemberg,9781,1620,1237,1194,2020-03-28,88,101,14,10,17.3,31,16
Baden-Wuerttemberg,9794,13,837,889,2020-03-29,88,101,15,11,10,0,14.2
Baden-Wuerttemberg,10943,1149,927,975,2020-03-30,99,119,16,12,10,18,16.4
Baden-Wuerttemberg,12334,1391,851,1010,2020-03-31,111,165,17,13,8.4,46,21.8
Baden-Wuerttemberg,13410,1076,1205,1050,2020-04-01,121,197,18,14,10.9,32,25.4
Baden-Wuerttemberg,14662,1252,1240,976,2020-04-02,132,241,19,15,10.1,44,28
Baden-Wuerttemberg,16059,1397,1242,1253,2020-04-03,145,285,20,16,9.2,44,36.8
Baden-Wuerttemberg,17014,955,1201,1214,2020-04-04,154,316,21,17,8.2,31,39.4
Baden-Wuerttemberg,18614,1600,1317,1256,2020-04-05,168,367,22,18,8.3,51,40.4
Baden-Wuerttemberg,19395,781,1112,1197,2020-04-06,175,387,23,19,6.5,20,38
Baden-Wuerttemberg,20141,746,1042,1096,2020-04-07,182,433,24,20,5.7,46,38.4
Baden-Wuerttemberg,20680,539,689,924,2020-04-08,187,464,25,21,3.6,31,35.8
Baden-Wuerttemberg,21603,923,736,918,2020-04-09,195,519,26,22,3.7,55,40.6
Baden-Wuerttemberg,22433,830,764,764,2020-04-10,203,570,27,23,3.7,51,40.6
Baden-Wuerttemberg,23617,1184,979,844,2020-04-11,213,622,28,24,4.5,52,47
Baden-Wuerttemberg,24078,461,825,787,2020-04-12,218,649,29,25,3.7,27,43.2
Baden-Wuerttemberg,24570,592,746,798,2020-04-13,222,677,30,26,3.2,28,42.6
Baden-Wuerttemberg,25040,470,508,707,2020-04-14,226,711,31,27,2.1,34,38.4
Baden-Wuerttemberg,25438,398,487,621,2020-04-15,230,767,32,28,2.0,56,39.4
Baden-Wuerttemberg,25881,443,437,473,2020-04-16,234,802,33,29,1.7,35,36
Bavaria,886,0,0,0,2020-03-15,6,4,1,0,0,0,0
Bavaria,1067,181,0,0,2020-03-16,7,4,2,0,0,0,0
Bavaria,1109,144,0,0,2020-03-17,9,4,3,0,0,0,0
Bavaria,1243,134,153,0,2020-03-18,10,4,4,0,15,0,0
Bavaria,1692,449,242,0,2020-03-19,13,8,5,1,21.2,4,0.8
Bavaria,2401,709,431,323,2020-03-20,18,12,6,2,32,4,1.6
Bavaria,2960,559,572,399,2020-03-21,23,19,7,3,32.2,7,3
Bavaria,3650,690,653,508,2020-03-22,28,21,8,4,27.8,2,3.4
Bavaria,4892,1242,830,730,2020-03-23,37,26,9,5,27.6,5,4.4
Bavaria,5754,862,931,812,2020-03-24,44,30,10,6,24.3,4,4.4
Bavaria,6558,804,969,831,2020-03-25,50,37,11,7,20.3,7,5
Bavaria,7993,1435,1034,1007,2020-03-26,61,47,12,8,18,10,5.6
Bavaria,9481,1488,1242,1166,2020-03-27,73,55,13,9,18.4,8,6.8
Bavaria,11150,1669,1531,1252,2020-03-28,85,77,14,10,19.1,22,10.2
Bavaria,12881,1731,1629,1425,2020-03-29,99,107,15,11,17.1,30,15.4
Bavaria,13989,1108,1503,1486,2020-03-30,107,127,16,12,13.5,20,18
Bavaria,14810,821,1220,1363,2020-03-31,113,162,17,13,9.6,35,23
Bavaria,16497,1687,1205,1403,2020-04-01,126,225,18,14,8.7,63,34
Bavaria,18496,1999,1502,1469,2020-04-02,141,268,19,15,9.9,43,38.2
Bavaria,20237,1741,1809,1471,2020-04-03,155,307,20,16,10.9,39,40
Bavaria,21908,1671,1804,1584,2020-04-04,168,349,21,17,9.8,42,44.4
Bavaria,23846,1938,1783,1807,2020-04-05,182,396,22,18,8.8,47,46.8
Bavaria,24974,1128,1579,1695,2020-04-06,191,437,23,19,7.2,41,42.4
Bavaria,26163,1189,1418,1533,2020-04-07,200,481,24,20,6.0,44,42.6
Bavaria,27564,1401,1239,1465,2020-04-08,211,564,25,21,5.0,83,51.4
Bavaria,28827,1263,1284,1384,2020-04-09,220,635,26,22,4.9,71,57.2
Bavaria,30363,1536,1400,1303,2020-04-10,232,703,27,23,5.1,68,61.4
Bavaria,31453,1090,1296,1296,2020-04-11,241,747,28,24,4.5,44,62
Bavaria,32282,829,1152,1224,2020-04-12,247,786,29,25,3.8,39,61
Bavaria,33015,733,884,1090,2020-04-13,252,820,30,26,2.8,34,51.2
Bavaria,33569,554,705,948,2020-04-14,257,872,31,27,2.2,52,47.4
Bavaria,34294,725,671,786,2020-04-15,262,954,32,28,2.0,82,50.2
Bavaria,35142,848,709,738,2020-04-16,269,1049,33,29,2.1,95,60.4
Berlin,265,0,0,0,2020-03-15,7,0,1,0,0,0,0
Berlin,300,35,0,0,2020-03-16,8,0,2,0,0,0,0
Berlin,345,45,0,0,2020-03-17,9,0,3,0,0,0,0
Berlin,391,46,42,0,2020-03-18,10,0,4,0,13.8,0,0
Berlin,573,182,91,0,2020-03-19,15,0,5,0,26.4,0,0
Berlin,731,158,129,93,2020-03-20,20,0,6,0,29.6,0,0
Berlin,866,135,158,113,2020-03-21,23,1,7,0,28,1,0.2
Berlin,1024,158,150,136,2020-03-22,27,1,8,0,20.7,0,0.2
Berlin,1077,53,115,137,2020-03-23,29,1,9,0,13.2,0,0.2
Berlin,1220,143,118,129,2020-03-24,33,1,10,0,11.9,0,0.2
Berlin,1428,208,135,139,2020-03-25,38,2,11,0,12.2,1,0.4
Berlin,1656,228,193,158,2020-03-26,44,4,12,0,15.5,2,0.6
Berlin,1955,299,245,186,2020-03-27,52,8,13,1,17.1,4,1.4
Berlin,2161,206,244,217,2020-03-28,58,8,14,2,14.5,0,1.4
Berlin,2360,199,235,228,2020-03-29,63,9,15,3,12.2,1,1.6
Berlin,2464,104,170,207,2020-03-30,66,11,16,4,7.9,2,1.8
Berlin,2575,111,138,184,2020-03-31,69,13,17,5,5.9,2,1.8
Berlin,2754,179,131,160,2020-04-01,73,16,18,6,5.3,3,1.6
Berlin,2970,216,169,162,2020-04-02,79,19,19,7,6.5,3,2.2
Berlin,3202,232,209,168,2020-04-03,85,20,20,8,7.6,1,2.2
Berlin,3471,269,239,201,2020-04-04,93,22,21,9,8.0,2,2.2
Berlin,3613,142,214,208,2020-04-05,96,24,22,10,6.7,2,2.2
Berlin,3670,57,156,183,2020-04-06,98,26,23,11,4.5,2,2
Berlin,3845,175,125,175,2020-04-07,103,28,24,12,3.5,2,1.8
Berlin,4028,183,138,165,2020-04-08,107,32,25,13,3.7,4,2.4
Berlin,4202,174,177,146,2020-04-09,112,37,26,14,4.6,5,3
Berlin,4349,147,168,147,2020-04-10,116,42,27,15,4.2,5,3.6
Berlin,4458,109,143,158,2020-04-11,119,46,28,16,3.4,4,4
Berlin,4567,109,122,144,2020-04-12,122,50,29,17,2.8,4,4.4
Berlin,4601,34,84,115,2020-04-13,123,51,30,18,1.9,1,3.8
Berlin,4668,67,70,93,2020-04-14,125,56,31,19,1.5,5,3.8
Berlin,4722,54,52,75,2020-04-15,126,62,32,20,1.1,6,4
Berlin,4848,126,82,78,2020-04-16,129,74,33,21,1.8,12,5.6
Hamburg,162,0,0,0,2020-03-15,9,0,1,0,0,0,0
Hamburg,260,98,0,0,2020-03-16,14,0,2,0,0,0,0
Hamburg,310,55,0,0,2020-03-17,17,0,3,0,0,0,0
Hamburg,358,48,67,0,2020-03-18,19,0,4,0,27.5,0,0
Hamburg,432,74,59,0,2020-03-19,23,0,5,0,19.1,0,0
Hamburg,586,154,92,86,2020-03-20,32,0,6,0,25.1,0,0
Hamburg,587,1,76,66,2020-03-21,32,0,7,0,16.6,0,0
Hamburg,872,285,147,112,2020-03-22,47,0,8,0,27.5,0,0
Hamburg,943,71,119,117,2020-03-23,51,0,9,0,17.5,0,0
Hamburg,1043,100,152,122,2020-03-24,57,0,10,0,19,0,0
Hamburg,1262,219,130,135,2020-03-25,69,0,11,0,13.6,0,0
Hamburg,1265,3,107,136,2020-03-26,69,0,12,0,9.9,0,0
Hamburg,1693,428,217,164,2020-03-27,92,2,13,0,18.2,2,0.4
Hamburg,1765,72,168,164,2020-03-28,96,2,14,0,11.9,0,0.4
Hamburg,1846,81,194,161,2020-03-29,100,4,15,0,12.3,2,0.8
Hamburg,2053,207,120,158,2020-03-30,112,5,16,1,6.8,1,1
Hamburg,2191,138,142,185,2020-03-31,119,9,17,2,7.5,4,1.8
Hamburg,2311,120,155,124,2020-04-01,126,14,18,3,7.6,5,2.4
Hamburg,2406,95,118,128,2020-04-02,131,14,19,4,5.4,0,2.4
Hamburg,2596,190,135,150,2020-04-03,141,16,20,5,5.9,2,2.4
Hamburg,2697,101,129,129,2020-04-04,146,16,21,6,5.3,0,2.2
Hamburg,2945,248,180,151,2020-04-05,160,19,22,7,7.0,3,2
Hamburg,2993,48,132,136,2020-04-06,163,19,23,8,4.8,0,1
Hamburg,3059,66,121,131,2020-04-07,166,20,24,9,4.2,1,1.2
Hamburg,3165,106,73,114,2020-04-08,172,23,25,10,2.4,3,1.4
Hamburg,3320,155,109,125,2020-04-09,180,44,26,11,3.5,21,5.6
Hamburg,3551,231,164,121,2020-04-10,193,53,27,12,5.2,9,6.8
Hamburg,3663,112,166,134,2020-04-11,199,56,28,13,5.0,3,7.4
Hamburg,3742,79,141,137,2020-04-12,203,56,29,14,4.0,0,7.2
Hamburg,3770,28,73,121,2020-04-13,205,56,30,15,2.0,0,6.6
Hamburg,3808,38,48,98,2020-04-14,207,59,31,16,1.3,3,3
Hamburg,3869,61,42,64,2020-04-15,210,67,32,17,1.1,8,2.8
Hamburg,3953,84,61,58,2020-04-16,215,80,33,18,1.6,13,4.8
Hesse,286,0,0,0,2020-03-15,3,0,1,0,0,0,0
Hesse,342,56,0,0,2020-03-16,4,0,2,0,0,0,0
Hesse,373,132,0,0,2020-03-17,6,0,3,0,0,0,0
Hesse,432,59,82,0,2020-03-18,7,0,4,0,24.6,0,0
Hesse,682,250,147,0,2020-03-19,11,0,5,0,38.4,0,0
Hesse,813,131,147,126,2020-03-20,13,1,6,0,29.7,1,0.2
Hesse,1080,267,216,168,2020-03-21,17,2,7,0,33.6,1,0.4
Hesse,1175,95,164,160,2020-03-22,19,2,8,0,19.1,0,0.4
Hesse,1347,172,178,183,2020-03-23,21,3,9,0,17.4,1,0.6
Hesse,1620,273,180,188,2020-03-24,26,4,10,0,15,1,0.8
Hesse,1754,134,193,188,2020-03-25,28,4,11,0,14,0,0.6
Hesse,2157,403,270,215,2020-03-26,34,6,12,1,17.2,2,0.8
Hesse,2323,166,234,230,2020-03-27,37,7,13,2,12.7,1,1
Hesse,2604,281,283,251,2020-03-28,42,9,14,3,13.6,2,1.2
Hesse,2645,1,149,197,2020-03-29,42,9,15,4,6.3,0,1
Hesse,3091,486,256,267,2020-03-30,49,13,16,5,10.1,4,1.8
Hesse,3283,192,226,225,2020-03-31,52,17,17,6,8.1,4,2.2
Hesse,3445,162,280,224,2020-04-01,55,21,18,7,9.3,4,2.8
Hesse,3707,262,205,221,2020-04-02,59,27,19,8,6.3,6,3.6
Hesse,3993,286,237,278,2020-04-03,64,33,20,9,6.8,6,4.8
Hesse,4279,286,278,238,2020-04-04,68,42,21,10,7.5,9,5.8
Hesse,4575,296,289,258,2020-04-05,73,56,22,11,7.2,14,7.8
Hesse,4674,99,322,278,2020-04-06,75,61,23,12,7.5,5,8
Hesse,4837,163,186,226,2020-04-07,77,73,24,14,4.1,12,9.2
Hesse,4965,128,130,194,2020-04-08,79,84,25,15,2.8,11,10.2
Hesse,5242,277,189,193,2020-04-09,84,100,26,16,3.9,16,11.6
Hesse,5694,452,286,224,2020-04-10,91,111,27,17,5.7,11,11
Hesse,5808,114,281,227,2020-04-11,93,120,28,18,5.3,9,11.8
Hesse,5859,51,206,204,2020-04-12,94,123,29,19,3.7,3,10
Hesse,6114,255,140,230,2020-04-13,98,135,30,20,2.4,12,10.2
Hesse,6183,69,125,188,2020-04-14,99,147,31,21,2.1,12,9.4
Hesse,6347,164,163,131,2020-04-15,101,173,32,22,2.7,26,12.4
Hesse,6470,123,119,132,2020-04-16,103,187,33,23,1.9,14,13.4
Lower_Saxony,287,0,0,0,2020-03-15,3,0,1,0,0,0,0
Lower_Saxony,391,104,0,0,2020-03-16,3,0,2,0,0,0,0
Lower_Saxony,325,53,0,0,2020-03-17,4,0,3,0,0,0,0
Lower_Saxony,478,153,103,0,2020-03-18,6,0,4,0,30.8,0,0
Lower_Saxony,669,191,132,0,2020-03-19,8,0,5,0,33.2,0,0
Lower_Saxony,803,134,159,127,2020-03-20,10,0,6,0,32.4,0,0
