State,Averaged_2days,Date
Baden-Württemberg,273.5,March17-18
Baden-Württemberg,568.5,March19-20
Baden-Württemberg,530.5,March21-22
Baden-Württemberg,770.5,March23-24
Baden-Württemberg,967.5,March25-26
Baden-Württemberg,1249,March27-28
Baden-Württemberg,581,March29-30
Baden-Württemberg,1233.5,March31-Apr1
Bavaria,139,March17-18
Bavaria,579,March19-20
Bavaria,624.5,March21-22
Bavaria,1052,March23-24
Bavaria,1119.5,March25-26
Bavaria,1578.5,March27-28
Bavaria,1419.5,March29-30
Bavaria,1254,March31-Apr1
Berlin,45.5,March17-18
Berlin,170,March19-20
Berlin,146.5,March21-22
Berlin,98,March23-24
Berlin,218,March25-26
Berlin,252.5,March27-28
Berlin,151.5,March29-30
Berlin,145,March31-Apr1
Hamburg,51.5,March17-18
Hamburg,114,March19-20
Hamburg,143,March21-22
Hamburg,85.5,March23-24
Hamburg,111,March25-26
Hamburg,250,March27-28
Hamburg,144,March29-30
Hamburg,129,March31-Apr1
Hesse,95.5,March17-18
Hesse,190.5,March19-20
Hesse,181,March21-22
Hesse,222.5,March23-24
Hesse,268.5,March25-26
Hesse,223.5,March27-28
Hesse,243.5,March29-30
Hesse,177,March31-Apr1
Lower_Saxony,103,March17-18
Lower_Saxony,162.5,March19-20
Lower_Saxony,251.5,March21-22
Lower_Saxony,229,March23-24
Lower_Saxony,291.5,March25-26
Lower_Saxony,401.5,March27-28
Lower_Saxony,291,March29-30
Lower_Saxony,325,March31-Apr1
North_Rhine-Westphalia,415.5,March17-18
North_Rhine-Westphalia,562.5,March19-20
North_Rhine-Westphalia,24,March21-22
North_Rhine-Westphalia,1386.5,March23-24
North_Rhine-Westphalia,803,March25-26
North_Rhine-Westphalia,1391.5,March27-28
North_Rhine-Westphalia,785.5,March29-30
North_Rhine-Westphalia,1086.5,March31-Apr1
Rhineland-Palatinate,74.5,March17-18
Rhineland-Palatinate,163.5,March19-20
Rhineland-Palatinate,126,March21-22
Rhineland-Palatinate,158.5,March23-24
Rhineland-Palatinate,223,March25-26
Rhineland-Palatinate,198,March27-28
Rhineland-Palatinate,186,March29-30
Rhineland-Palatinate,157.5,March31-Apr1
Saxony,47.5,March17-18
Saxony,98,March19-20
Saxony,106,March21-22
Saxony,102.5,March23-24
Saxony,165,March25-26
Saxony,145.5,March27-28
Saxony,181.5,March29-30
Saxony,119.5,March31-Apr1
Schles­wig-Holstein,27.5,March17-18
Schles­wig-Holstein,53.5,March19-20
Schles­wig-Holstein,40.5,March21-22
Schles­wig-Holstein,65.5,March23-24
Schles­wig-Holstein,98.5,March25-26
Schles­wig-Holstein,120,March27-28
Schles­wig-Holstein,67,March29-30
Schles­wig-Holstein,98.5,March31-Apr1
