State,Averaged_2days,Date,Days
Baden-Württemberg,273.5,March17-18,1
Baden-Württemberg,568.5,March19-20,2
Baden-Württemberg,530.5,March21-22,3
Baden-Württemberg,770.5,March23-24,4
Baden-Württemberg,967.5,March25-26,5
Baden-Württemberg,1249,March27-28,6
Baden-Württemberg,581,March29-30,7
Baden-Württemberg,1233.5,March31-Apr1,8
Bavaria,139,March17-18,1
Bavaria,579,March19-20,2
Bavaria,624.5,March21-22,3
Bavaria,1052,March23-24,4
Bavaria,1119.5,March25-26,5
Bavaria,1578.5,March27-28,6
Bavaria,1419.5,March29-30,7
Bavaria,1254,March31-Apr1,8
Berlin,45.5,March17-18,1
Berlin,170,March19-20,2
Berlin,146.5,March21-22,3
Berlin,98,March23-24,4
Berlin,218,March25-26,5
Berlin,252.5,March27-28,6
Berlin,151.5,March29-30,7
Berlin,145,March31-Apr1,8
Hamburg,51.5,March17-18,1
Hamburg,114,March19-20,2
Hamburg,143,March21-22,3
Hamburg,85.5,March23-24,4
Hamburg,111,March25-26,5
Hamburg,250,March27-28,6
Hamburg,144,March29-30,7
Hamburg,129,March31-Apr1,8
Hesse,95.5,March17-18,1
Hesse,190.5,March19-20,2
Hesse,181,March21-22,3
Hesse,222.5,March23-24,4
Hesse,268.5,March25-26,5
Hesse,223.5,March27-28,6
Hesse,243.5,March29-30,7
Hesse,177,March31-Apr1,8
Lower_Saxony,103,March17-18,1
Lower_Saxony,162.5,March19-20,2
Lower_Saxony,251.5,March21-22,3
Lower_Saxony,229,March23-24,4
Lower_Saxony,291.5,March25-26,5
Lower_Saxony,401.5,March27-28,6
Lower_Saxony,291,March29-30,7
Lower_Saxony,325,March31-Apr1,8
North_Rhine-Westphalia,415.5,March17-18,1
North_Rhine-Westphalia,562.5,March19-20,2
North_Rhine-Westphalia,24,March21-22,3
North_Rhine-Westphalia,1386.5,March23-24,4
North_Rhine-Westphalia,803,March25-26,5
North_Rhine-Westphalia,1391.5,March27-28,6
North_Rhine-Westphalia,785.5,March29-30,7
North_Rhine-Westphalia,1086.5,March31-Apr1,8
Rhineland-Palatinate,74.5,March17-18,1
Rhineland-Palatinate,163.5,March19-20,2
Rhineland-Palatinate,126,March21-22,3
Rhineland-Palatinate,158.5,March23-24,4
Rhineland-Palatinate,223,March25-26,5
Rhineland-Palatinate,198,March27-28,6
Rhineland-Palatinate,186,March29-30,7
Rhineland-Palatinate,157.5,March31-Apr1,8
Saxony,47.5,March17-18,1
Saxony,98,March19-20,2
Saxony,106,March21-22,3
Saxony,102.5,March23-24,4
Saxony,165,March25-26,5
Saxony,145.5,March27-28,6
Saxony,181.5,March29-30,7
Saxony,119.5,March31-Apr1,8
Schles­wig-Holstein,27.5,March17-18,1
Schles­wig-Holstein,53.5,March19-20,2
Schles­wig-Holstein,40.5,March21-22,3
Schles­wig-Holstein,65.5,March23-24,4
Schles­wig-Holstein,98.5,March25-26,5
Schles­wig-Holstein,120,March27-28,6
Schles­wig-Holstein,67,March29-30,7
Schles­wig-Holstein,98.5,March31-Apr1,8
