dateRep,countryterritoryCode,cum_cases,cum_deaths,Days_10cases,Days_5deaths,cases_doubling,case_type
2019-12-31,BEL,0,0,0,0,12,cases
2020-01-01,BEL,0,0,0,0,12,cases
2020-01-02,BEL,0,0,0,0,12,cases
2020-01-03,BEL,0,0,0,0,12,cases
2020-01-04,BEL,0,0,0,0,12,cases
2020-01-05,BEL,0,0,0,0,12,cases
2020-01-06,BEL,0,0,0,0,12,cases
2020-01-07,BEL,0,0,0,0,12,cases
2020-01-08,BEL,0,0,0,0,12,cases
2020-01-09,BEL,0,0,0,0,12,cases
2020-01-10,BEL,0,0,0,0,12,cases
2020-01-11,BEL,0,0,0,0,12,cases
2020-01-12,BEL,0,0,0,0,12,cases
2020-01-13,BEL,0,0,0,0,12,cases
2020-01-14,BEL,0,0,0,0,12,cases
2020-01-15,BEL,0,0,0,0,12,cases
2020-01-16,BEL,0,0,0,0,12,cases
2020-01-17,BEL,0,0,0,0,12,cases
2020-01-18,BEL,0,0,0,0,12,cases
2020-01-19,BEL,0,0,0,0,12,cases
2020-01-20,BEL,0,0,0,0,12,cases
2020-01-21,BEL,0,0,0,0,12,cases
2020-01-22,BEL,0,0,0,0,12,cases
2020-01-23,BEL,0,0,0,0,12,cases
2020-01-24,BEL,0,0,0,0,12,cases
2020-01-25,BEL,0,0,0,0,12,cases
2020-01-26,BEL,0,0,0,0,12,cases
2020-01-27,BEL,0,0,0,0,12,cases
2020-01-28,BEL,0,0,0,0,12,cases
2020-01-29,BEL,0,0,0,0,12,cases
2020-01-30,BEL,0,0,0,0,12,cases
2020-01-31,BEL,0,0,0,0,12,cases
2020-02-01,BEL,0,0,0,0,12,cases
2020-02-02,BEL,0,0,0,0,12,cases
2020-02-03,BEL,0,0,0,0,12,cases
2020-02-04,BEL,1,0,0,0,12,cases
2020-02-05,BEL,1,0,0,0,12,cases
2020-02-06,BEL,1,0,0,0,12,cases
2020-02-07,BEL,1,0,0,0,12,cases
2020-02-08,BEL,1,0,0,0,12,cases
2020-02-09,BEL,1,0,0,0,12,cases
2020-02-10,BEL,1,0,0,0,12,cases
2020-02-11,BEL,1,0,0,0,12,cases
2020-02-12,BEL,1,0,0,0,12,cases
2020-02-13,BEL,1,0,0,0,12,cases
2020-02-14,BEL,1,0,0,0,12,cases
2020-02-15,BEL,1,0,0,0,12,cases
2020-02-16,BEL,1,0,0,0,12,cases
2020-02-17,BEL,1,0,0,0,12,cases
2020-02-18,BEL,1,0,0,0,12,cases
2020-02-19,BEL,1,0,0,0,12,cases
2020-02-20,BEL,1,0,0,0,12,cases
2020-02-21,BEL,1,0,0,0,12,cases
2020-02-22,BEL,1,0,0,0,12,cases
2020-02-23,BEL,1,0,0,0,12,cases
2020-02-24,BEL,1,0,0,0,12,cases
2020-02-25,BEL,1,0,0,0,12,cases
2020-02-26,BEL,1,0,0,0,12,cases
